provider,service,scenario,hours,monthly_usd
AWS,"DynamoDB provisioned capacity - ToggleMaster - analytics: 10 RCU, 10 WCU, 5 GB",calculator_no_free_tier,730,6.95
AWS,"Amazon EKS - ToggleMaster - EKS homologacao, suporte padrao, 730 h",calculator_no_free_tier,730,73.00
AWS,"Amazon RDS for PostgreSQL - ToggleMaster - auth e flag: 2 PostgreSQL, 2 vCPU/16 GiB cada",calculator_no_free_tier,730,376.50
AWS,Amazon RDS for PostgreSQL - ToggleMaster - targeting: PostgreSQL 4 vCPU/32 GiB,calculator_no_free_tier,730,370.75
AWS,Amazon EC2  - ToggleMaster - 2 workers x86 2 vCPU/8 GiB; EBS 50 GB cada,calculator_no_free_tier,730,134.14
AWS,"Amazon ElastiCache - ToggleMaster - Redis 1 node, 3.09 GiB (OCI 2 GB)",calculator_no_free_tier,730,49.64
AWS,"Public IPv4 Address - ToggleMaster - NAT regional 1 AZ, 10 GB/mes; 3 IPv4 publicos",calculator_no_free_tier,730,10.95
AWS,"Network Address Translation (NAT) Gateway - ToggleMaster - NAT regional 1 AZ, 10 GB/mes; 3 IPv4 publicos",calculator_no_free_tier,730,33.30
AWS,"Network Load Balancer - ToggleMaster - NLB TCP, 1 balanceador, 10 GB/mes",calculator_no_free_tier,730,16.49
AWS,"Amazon Elastic Container Registry - ToggleMaster - 5 repositorios privados, 5 GB totais",calculator_no_free_tier,730,0.50
AWS,Amazon Simple Queue Service (SQS) - ToggleMaster - 100 mil requisicoes SQS Standard/mes,calculator_no_free_tier,730,0.04
AWS,"S3 Standard - ToggleMaster - estado Terraform versionado 1 GB, 1000 PUT e 10000 GET/mes",calculator_no_free_tier,730,0.03
AWS,"Data Transfer - ToggleMaster - estado Terraform versionado 1 GB, 1000 PUT e 10000 GET/mes",calculator_no_free_tier,730,0.00
AWS,"AWS Secrets Manager - ToggleMaster - 8 segredos, 10000 leituras de API/mes",calculator_no_free_tier,730,3.25
AWS,"AWS Key Management Service - ToggleMaster - 1 chave simetrica, 10000 requisicoes/mes",calculator_no_free_tier,730,1.03
AWS,AWS Data Transfer - ToggleMaster - 10 GB saida internet + 1 GB inter-AZ/mes,calculator_no_free_tier,730,0.92
OCI,Secret Management,calculator_with_public_tiers,744,0.00
OCI,Virtual Cloud Networks,calculator_with_public_tiers,744,0.00
OCI,Object Storage,calculator_with_public_tiers,744,0.00
OCI,OCI Queue,calculator_with_public_tiers,744,0.00
OCI,Load Balancer,calculator_with_public_tiers,744,0.00
OCI,Oracle NoSQL Database Cloud - Provisioned,calculator_with_public_tiers,744,1.65
OCI,Cache with Redis,calculator_with_public_tiers,744,28.87
OCI,Cloud Infrastructure Kubernetes Engine (OKE),calculator_with_public_tiers,744,147.10
OCI,PostgreSQL targeting - 2 OCPU 32 GB - 50 GB dados,calculator_with_public_tiers,744,247.21
OCI,PostgreSQL flag - 1 OCPU 16 GB - 50 GB dados,calculator_with_public_tiers,744,125.19
OCI,PostgreSQL auth - 1 OCPU 16 GB - 50 GB dados,calculator_with_public_tiers,744,125.19
OCI,Secret Management,normalized_with_public_tiers,730,0.00
OCI,Virtual Cloud Networks,normalized_with_public_tiers,730,0.00
OCI,Object Storage,normalized_with_public_tiers,730,0.00
OCI,OCI Queue,normalized_with_public_tiers,730,0.00
OCI,Load Balancer,normalized_with_public_tiers,730,0.00
OCI,Oracle NoSQL Database Cloud - Provisioned,normalized_with_public_tiers,730,1.65
OCI,Cache with Redis,normalized_with_public_tiers,730,28.32
OCI,Cloud Infrastructure Kubernetes Engine (OKE),normalized_with_public_tiers,730,144.41
OCI,PostgreSQL targeting - 2 OCPU 32 GB - 50 GB dados,normalized_with_public_tiers,730,242.67
OCI,PostgreSQL flag - 1 OCPU 16 GB - 50 GB dados,normalized_with_public_tiers,730,122.95
OCI,PostgreSQL auth - 1 OCPU 16 GB - 50 GB dados,normalized_with_public_tiers,730,122.95
OCI,Secret Management,no_free_allowances,744,0.00
OCI,Virtual Cloud Networks,no_free_allowances,744,0.09
OCI,Object Storage,no_free_allowances,744,0.16
OCI,OCI Queue,no_free_allowances,744,0.02
OCI,Load Balancer,no_free_allowances,744,9.15
OCI,Oracle NoSQL Database Cloud - Provisioned,no_free_allowances,744,1.65
OCI,Cache with Redis,no_free_allowances,744,28.87
OCI,Cloud Infrastructure Kubernetes Engine (OKE),no_free_allowances,744,147.10
OCI,PostgreSQL targeting - 2 OCPU 32 GB - 50 GB dados,no_free_allowances,744,247.21
OCI,PostgreSQL flag - 1 OCPU 16 GB - 50 GB dados,no_free_allowances,744,125.19
OCI,PostgreSQL auth - 1 OCPU 16 GB - 50 GB dados,no_free_allowances,744,125.19
OCI,Secret Management,no_free_allowances,730,0.00
OCI,Virtual Cloud Networks,no_free_allowances,730,0.09
OCI,Object Storage,no_free_allowances,730,0.16
OCI,OCI Queue,no_free_allowances,730,0.02
OCI,Load Balancer,no_free_allowances,730,8.98
OCI,Oracle NoSQL Database Cloud - Provisioned,no_free_allowances,730,1.65
OCI,Cache with Redis,no_free_allowances,730,28.32
OCI,Cloud Infrastructure Kubernetes Engine (OKE),no_free_allowances,730,144.41
OCI,PostgreSQL targeting - 2 OCPU 32 GB - 50 GB dados,no_free_allowances,730,242.67
OCI,PostgreSQL flag - 1 OCPU 16 GB - 50 GB dados,no_free_allowances,730,122.95
OCI,PostgreSQL auth - 1 OCPU 16 GB - 50 GB dados,no_free_allowances,730,122.95
